okregowaId[1-51];obwodId;obwodNr;obwodTyp;obwodName;obwodAddress;allowedToVote
14;106104-85;85;P;Lokal wyborczy Polesie Nr. 85;ul. Romanowska 1-85 91-174 Łódź-Polesie;2501
14;106104-86;86;P;Lokal wyborczy Polesie Nr. 86;ul. Romanowska 1-86 91-174 Łódź-Polesie;2322
14;106104-87;87;P;Lokal wyborczy Polesie Nr. 87;ul. Romanowska 1-87 91-174 Łódź-Polesie;83
14;106104-88;88;P;Lokal wyborczy Polesie Nr. 88;ul. Romanowska 1-88 91-174 Łódź-Polesie;1214
14;106104-89;89;P;Lokal wyborczy Polesie Nr. 89;ul. Romanowska 1-89 91-174 Łódź-Polesie;2966
14;106104-90;90;P;Lokal wyborczy Polesie Nr. 90;ul. Romanowska 1-90 91-174 Łódź-Polesie;2727
14;106104-91;91;P;Lokal wyborczy Polesie Nr. 91;ul. Romanowska 1-91 91-174 Łódź-Polesie;1673
14;106104-92;92;P;Lokal wyborczy Polesie Nr. 92;ul. Romanowska 1-92 91-174 Łódź-Polesie;884
14;106104-93;93;P;Lokal wyborczy Polesie Nr. 93;ul. Romanowska 1-93 91-174 Łódź-Polesie;904
14;106104-94;94;P;Lokal wyborczy Polesie Nr. 94;ul. Romanowska 1-94 91-174 Łódź-Polesie;970
14;106104-95;95;P;Lokal wyborczy Polesie Nr. 95;ul. Romanowska 1-95 91-174 Łódź-Polesie;1285
14;106104-96;96;P;Lokal wyborczy Polesie Nr. 96;ul. Romanowska 1-96 91-174 Łódź-Polesie;2444
14;106104-97;97;P;Lokal wyborczy Polesie Nr. 97;ul. Romanowska 1-97 91-174 Łódź-Polesie;164
14;106104-98;98;P;Lokal wyborczy Polesie Nr. 98;ul. Romanowska 1-98 91-174 Łódź-Polesie;1778
14;106104-99;99;P;Lokal wyborczy Polesie Nr. 99;ul. Romanowska 1-99 91-174 Łódź-Polesie;2107
14;106104-100;100;P;Lokal wyborczy Polesie Nr. 100;ul. Romanowska 1-100 91-174 Łódź-Polesie;361
14;106104-101;101;P;Lokal wyborczy Polesie Nr. 101;ul. Romanowska 1-101 91-174 Łódź-Polesie;667
14;106104-102;102;P;Lokal wyborczy Polesie Nr. 102;ul. Romanowska 1-102 91-174 Łódź-Polesie;1392
14;106104-103;103;P;Lokal wyborczy Polesie Nr. 103;ul. Romanowska 1-103 91-174 Łódź-Polesie;1225
14;106104-104;104;P;Lokal wyborczy Polesie Nr. 104;ul. Romanowska 1-104 91-174 Łódź-Polesie;2370
14;106104-105;105;P;Lokal wyborczy Polesie Nr. 105;ul. Romanowska 1-105 91-174 Łódź-Polesie;824
14;106104-106;106;P;Lokal wyborczy Polesie Nr. 106;ul. Romanowska 1-106 91-174 Łódź-Polesie;390
14;106104-107;107;P;Lokal wyborczy Polesie Nr. 107;ul. Romanowska 1-107 91-174 Łódź-Polesie;1169
14;106104-108;108;P;Lokal wyborczy Polesie Nr. 108;ul. Romanowska 1-108 91-174 Łódź-Polesie;337
14;106104-109;109;P;Lokal wyborczy Polesie Nr. 109;ul. Romanowska 1-109 91-174 Łódź-Polesie;173
14;106104-110;110;P;Lokal wyborczy Polesie Nr. 110;ul. Romanowska 1-110 91-174 Łódź-Polesie;1061
14;106104-111;111;P;Lokal wyborczy Polesie Nr. 111;ul. Romanowska 1-111 91-174 Łódź-Polesie;655
14;106104-112;112;P;Lokal wyborczy Polesie Nr. 112;ul. Romanowska 1-112 91-174 Łódź-Polesie;912
14;106104-113;113;P;Lokal wyborczy Polesie Nr. 113;ul. Romanowska 1-113 91-174 Łódź-Polesie;2857
14;106104-114;114;P;Lokal wyborczy Polesie Nr. 114;ul. Romanowska 1-114 91-174 Łódź-Polesie;1965
14;106104-115;115;P;Lokal wyborczy Polesie Nr. 115;ul. Romanowska 1-115 91-174 Łódź-Polesie;1933
14;106104-116;116;P;Lokal wyborczy Polesie Nr. 116;ul. Romanowska 1-116 91-174 Łódź-Polesie;2977
14;106104-117;117;P;Lokal wyborczy Polesie Nr. 117;ul. Romanowska 1-117 91-174 Łódź-Polesie;640
14;106104-118;118;P;Lokal wyborczy Polesie Nr. 118;ul. Romanowska 1-118 91-174 Łódź-Polesie;526
14;106104-119;119;P;Lokal wyborczy Polesie Nr. 119;ul. Romanowska 1-119 91-174 Łódź-Polesie;1113
14;106104-120;120;P;Lokal wyborczy Polesie Nr. 120;ul. Romanowska 1-120 91-174 Łódź-Polesie;756
14;106104-121;121;P;Lokal wyborczy Polesie Nr. 121;ul. Romanowska 1-121 91-174 Łódź-Polesie;2445
14;106104-122;122;P;Lokal wyborczy Polesie Nr. 122;ul. Romanowska 1-122 91-174 Łódź-Polesie;2296
14;106104-123;123;P;Lokal wyborczy Polesie Nr. 123;ul. Romanowska 1-123 91-174 Łódź-Polesie;2859
14;106104-124;124;P;Lokal wyborczy Polesie Nr. 124;ul. Romanowska 1-124 91-174 Łódź-Polesie;2640
14;106104-125;125;P;Lokal wyborczy Polesie Nr. 125;ul. Romanowska 1-125 91-174 Łódź-Polesie;1112
14;106104-126;126;P;Lokal wyborczy Polesie Nr. 126;ul. Romanowska 1-126 91-174 Łódź-Polesie;2027
14;106104-127;127;P;Lokal wyborczy Polesie Nr. 127;ul. Romanowska 1-127 91-174 Łódź-Polesie;597
14;106104-128;128;P;Lokal wyborczy Polesie Nr. 128;ul. Romanowska 1-128 91-174 Łódź-Polesie;1858
14;106104-129;129;P;Lokal wyborczy Polesie Nr. 129;ul. Romanowska 1-129 91-174 Łódź-Polesie;1393
14;106104-130;130;P;Lokal wyborczy Polesie Nr. 130;ul. Romanowska 1-130 91-174 Łódź-Polesie;1215
14;106104-131;131;P;Lokal wyborczy Polesie Nr. 131;ul. Romanowska 1-131 91-174 Łódź-Polesie;67
14;106104-132;132;P;Lokal wyborczy Polesie Nr. 132;ul. Romanowska 1-132 91-174 Łódź-Polesie;2146
14;106104-133;133;P;Lokal wyborczy Polesie Nr. 133;ul. Romanowska 1-133 91-174 Łódź-Polesie;1848
14;106104-134;134;P;Lokal wyborczy Polesie Nr. 134;ul. Romanowska 1-134 91-174 Łódź-Polesie;1265
14;106104-135;135;P;Lokal wyborczy Polesie Nr. 135;ul. Romanowska 1-135 91-174 Łódź-Polesie;1064
14;106104-136;136;P;Lokal wyborczy Polesie Nr. 136;ul. Romanowska 1-136 91-174 Łódź-Polesie;278
14;106104-137;137;P;Lokal wyborczy Polesie Nr. 137;ul. Romanowska 1-137 91-174 Łódź-Polesie;486
14;106104-138;138;P;Lokal wyborczy Polesie Nr. 138;ul. Romanowska 1-138 91-174 Łódź-Polesie;2699
14;106104-139;139;P;Lokal wyborczy Polesie Nr. 139;ul. Romanowska 1-139 91-174 Łódź-Polesie;238
14;106104-140;140;P;Lokal wyborczy Polesie Nr. 140;ul. Romanowska 1-140 91-174 Łódź-Polesie;2246
14;106104-141;141;P;Lokal wyborczy Polesie Nr. 141;ul. Romanowska 1-141 91-174 Łódź-Polesie;212
14;106104-142;142;P;Lokal wyborczy Polesie Nr. 142;ul. Romanowska 1-142 91-174 Łódź-Polesie;1066
14;106104-143;143;P;Lokal wyborczy Polesie Nr. 143;ul. Romanowska 1-143 91-174 Łódź-Polesie;1285
14;106104-144;144;P;Lokal wyborczy Polesie Nr. 144;ul. Romanowska 1-144 91-174 Łódź-Polesie;2857
14;106104-145;145;P;Lokal wyborczy Polesie Nr. 145;ul. Romanowska 1-145 91-174 Łódź-Polesie;776
14;106104-146;146;P;Lokal wyborczy Polesie Nr. 146;ul. Romanowska 1-146 91-174 Łódź-Polesie;1756
14;106104-147;147;P;Lokal wyborczy Polesie Nr. 147;ul. Romanowska 1-147 91-174 Łódź-Polesie;1850
14;106104-148;148;P;Lokal wyborczy Polesie Nr. 148;ul. Romanowska 1-148 91-174 Łódź-Polesie;2661
14;106104-149;149;P;Lokal wyborczy Polesie Nr. 149;ul. Romanowska 1-149 91-174 Łódź-Polesie;1535
14;106104-150;150;P;Lokal wyborczy Polesie Nr. 150;ul. Romanowska 1-150 91-174 Łódź-Polesie;2557
14;106104-151;151;P;Lokal wyborczy Polesie Nr. 151;ul. Romanowska 1-151 91-174 Łódź-Polesie;1895
14;106104-152;152;P;Lokal wyborczy Polesie Nr. 152;ul. Romanowska 1-152 91-174 Łódź-Polesie;1620
14;106104-153;153;P;Lokal wyborczy Polesie Nr. 153;ul. Romanowska 1-153 91-174 Łódź-Polesie;2240
14;106104-154;154;P;Lokal wyborczy Polesie Nr. 154;ul. Romanowska 1-154 91-174 Łódź-Polesie;2334
14;106104-155;155;P;Lokal wyborczy Polesie Nr. 155;ul. Romanowska 1-155 91-174 Łódź-Polesie;2042
14;106104-156;156;P;Lokal wyborczy Polesie Nr. 156;ul. Romanowska 1-156 91-174 Łódź-Polesie;2479
14;106104-157;157;P;Lokal wyborczy Polesie Nr. 157;ul. Romanowska 1-157 91-174 Łódź-Polesie;560
14;106104-158;158;P;Lokal wyborczy Polesie Nr. 158;ul. Romanowska 1-158 91-174 Łódź-Polesie;1363
14;106104-159;159;P;Lokal wyborczy Polesie Nr. 159;ul. Romanowska 1-159 91-174 Łódź-Polesie;317
14;106104-160;160;P;Lokal wyborczy Polesie Nr. 160;ul. Romanowska 1-160 91-174 Łódź-Polesie;1639
14;106104-161;161;P;Lokal wyborczy Polesie Nr. 161;ul. Romanowska 1-161 91-174 Łódź-Polesie;255
14;106104-162;162;P;Lokal wyborczy Polesie Nr. 162;ul. Romanowska 1-162 91-174 Łódź-Polesie;2696
14;106104-163;163;P;Lokal wyborczy Polesie Nr. 163;ul. Romanowska 1-163 91-174 Łódź-Polesie;2485
14;106104-164;164;P;Lokal wyborczy Polesie Nr. 164;ul. Romanowska 1-164 91-174 Łódź-Polesie;2542
14;106104-165;165;P;Lokal wyborczy Polesie Nr. 165;ul. Romanowska 1-165 91-174 Łódź-Polesie;882
14;106104-166;166;P;Lokal wyborczy Polesie Nr. 166;ul. Romanowska 1-166 91-174 Łódź-Polesie;1827
14;106104-167;167;P;Lokal wyborczy Polesie Nr. 167;ul. Romanowska 1-167 91-174 Łódź-Polesie;1336
14;106104-168;168;P;Lokal wyborczy Polesie Nr. 168;ul. Romanowska 1-168 91-174 Łódź-Polesie;477
14;106104-169;169;P;Lokal wyborczy Polesie Nr. 169;ul. Romanowska 1-169 91-174 Łódź-Polesie;2348
14;106104-170;170;P;Lokal wyborczy Polesie Nr. 170;ul. Romanowska 1-170 91-174 Łódź-Polesie;2794
14;106104-171;171;P;Lokal wyborczy Polesie Nr. 171;ul. Romanowska 1-171 91-174 Łódź-Polesie;2131
14;106104-172;172;P;Lokal wyborczy Polesie Nr. 172;ul. Romanowska 1-172 91-174 Łódź-Polesie;1515
14;106104-173;173;P;Lokal wyborczy Polesie Nr. 173;ul. Romanowska 1-173 91-174 Łódź-Polesie;547
14;106104-174;174;P;Lokal wyborczy Polesie Nr. 174;ul. Romanowska 1-174 91-174 Łódź-Polesie;410
14;106104-175;175;P;Lokal wyborczy Polesie Nr. 175;ul. Romanowska 1-175 91-174 Łódź-Polesie;2419
14;106104-176;176;P;Lokal wyborczy Polesie Nr. 176;ul. Romanowska 1-176 91-174 Łódź-Polesie;1638
14;106104-177;177;P;Lokal wyborczy Polesie Nr. 177;ul. Romanowska 1-177 91-174 Łódź-Polesie;190
14;106104-178;178;P;Lokal wyborczy Polesie Nr. 178;ul. Romanowska 1-178 91-174 Łódź-Polesie;1004
14;106104-179;179;P;Lokal wyborczy Polesie Nr. 179;ul. Romanowska 1-179 91-174 Łódź-Polesie;2505
